Date,Spends,Impressions,clicks,Check
2024-06-28,0.18,13,5,
2024-06-30,0.18,7,1,
2023-10-01,0.18,4,1,
2023-10-02,0.18,5,1,
2023-10-03,0.18,9,1,
2023-10-04,0.18,3,1,
2023-10-05,0.18,3,1,
2023-10-06,0.18,7,1,
2023-10-07,0.18,4,1,
2023-10-08,0.18,4,1,
2023-10-09,0.18,13,2,
2023-10-10,0.18,7,1,
2023-10-11,0.18,8,1,
2023-10-12,0.18,10,1,
2023-10-13,0.18,8,1,
2023-10-14,0.18,6,1,
2023-10-15,0.18,5,1,
2023-10-16,0.18,7,1,
2023-10-17,0.18,6,1,
2023-10-18,0.18,3,1,
2023-10-19,0.18,4,1,
2023-10-20,0.18,5,1,
2023-10-21,0.18,3,1,
2023-10-22,0.18,8,1,
2023-10-23,0.18,13,2,
2023-10-24,0.18,6,1,
2023-10-25,0.18,5,1,
2023-10-26,0.18,4,1,
2023-10-27,0.18,9,1,
2023-10-28,0.18,3,1,
2023-10-30,0.18,8,1,
2023-10-31,0.18,4,1,
2023-11-01,0.18,4,1,
2023-11-02,0.18,6,1,
2023-11-03,0.18,5,1,
2023-11-04,0.18,7,1,
2023-11-05,0.18,10,1,
2023-11-06,0.18,8,1,
2023-11-07,0.18,8,1,
2023-11-08,0.18,9,1,
2023-11-09,0.18,8,1,
2023-11-10,0.18,9,1,
2023-11-12,0.18,5,1,
2023-11-13,0.18,6,1,
2023-11-14,0.18,7,1,
2023-11-15,0.18,6,1,
2023-11-16,0.18,5,1,
2023-11-17,0.18,5,1,
2023-11-18,0.18,5,1,
2023-11-19,0.18,10,1,
2023-11-20,0.18,8,1,
2023-11-21,0.18,5,1,
2023-11-22,0.18,9,1,
2023-11-23,0.18,5,1,
2023-11-24,0.18,5,1,
2023-11-25,0.18,8,1,
2023-11-26,0.18,6,1,
2023-11-27,0.18,6,1,
2023-11-28,0.18,3,1,
2023-11-29,0.18,4,1,
2023-11-30,0.18,7,1,
2023-12-01,0.18,5,1,
2023-12-02,0.18,4,1,
2023-12-03,0.18,9,3,
2023-12-04,0.18,8,1,
2023-12-05,0.18,7,1,
2023-12-06,0.18,10,4,
2023-12-07,0.18,5,1,
2023-12-08,0.18,5,1,
2023-12-09,0.18,15,4,
2023-12-10,0.18,5,3,
2023-12-11,0.18,9,1,
2023-12-12,0.18,7,1,
2023-12-13,0.18,13,3,
2023-12-14,0.18,17,4,
2023-12-15,0.18,8,1,
2023-12-16,0.18,3,1,
2023-12-17,0.18,10,1,
2023-12-18,0.18,11,1,
2023-12-19,0.18,18,3,
2023-12-20,0.18,6,1,
2023-12-21,0.18,12,1,
2023-12-22,0.18,11,1,
2023-12-23,0.18,7,1,
2023-12-24,0.18,16,5,
2023-12-25,0.18,19,1,
2023-12-26,0.18,17,1,
2023-12-27,0.18,8,1,
2023-12-28,0.18,6,1,
2023-12-29,0.18,20,1,
2023-12-30,0.18,15,4,
2023-12-31,0.18,11,1,
2024-01-01,0.18,18,5,
2024-01-02,0.18,14,1,
2024-01-03,0.18,17,1,
2024-01-04,0.18,15,1,
2024-01-05,0.18,15,3,
2024-01-06,0.18,8,1,
2024-01-07,0.18,7,1,
2024-01-08,0.18,12,1,
2024-01-09,0.18,11,1,
2024-01-10,0.18,18,1,
2024-01-11,0.18,9,1,
2024-01-12,0.18,12,1,
2024-01-13,0.18,8,1,
2024-01-14,0.18,14,2,
2024-01-15,0.18,16,1,
2024-01-16,0.18,20,4,
2024-01-17,0.18,19,1,
2024-01-18,0.18,11,1,
2024-01-19,0.18,12,2,
2024-01-20,0.18,14,1,
2024-01-21,0.18,10,1,
2024-01-22,0.18,16,1,
2024-01-23,0.18,16,1,
2024-01-24,0.18,14,1,
2024-01-25,0.18,10,1,
2024-01-26,0.18,16,1,
2024-01-27,0.18,5,1,
2024-01-28,0.18,11,1,
2024-01-29,0.18,16,4,
2024-01-30,0.18,18,1,
2024-01-31,0.18,10,1,
2024-02-01,0.18,16,1,
2024-02-02,0.18,6,1,
2024-02-03,0.18,5,1,
2024-02-04,0.18,5,3,
2024-02-05,0.18,12,1,
2024-02-06,0.18,3,1,
2024-02-07,0.18,7,1,
2024-02-08,0.18,10,1,
2024-02-09,0.18,3,1,
2024-02-10,0.18,6,1,
2024-02-11,0.18,5,1,
2024-02-12,0.18,5,1,
2024-02-13,0.18,10,1,
2024-02-14,0.18,8,1,
2024-02-15,0.18,7,1,
2024-02-16,0.18,6,1,
2024-02-17,0.18,8,1,
2024-02-18,0.18,7,1,
2024-02-19,0.18,7,1,
2024-02-20,0.18,3,1,
2024-02-21,0.18,5,1,
2024-02-22,0.18,7,1,
2024-02-23,0.18,32,2,
2024-02-24,0.18,5,1,
2024-02-25,0.18,16,1,
2024-02-26,0.18,9,1,
2024-02-27,0.18,9,1,
2024-02-28,0.18,3,1,
2024-02-29,0.18,4,1,
2024-03-01,0.18,5,1,
2024-03-02,0.18,3,1,
2024-03-03,0.18,16,1,
2024-03-05,0.18,7,1,
2024-03-06,0.18,3,1,
2024-03-07,0.18,4,1,
2024-03-08,0.18,10,1,
2024-03-09,0.18,11,1,
2024-03-10,0.18,3,1,
2024-03-13,0.18,4,1,
2024-03-14,0.18,5,1,
2024-03-15,0.18,5,1,
2024-03-16,0.18,7,1,
2024-03-17,0.18,3,1,
2024-03-20,0.18,5,1,
2024-03-24,0.18,8,3,
2024-03-26,0.18,4,1,
2024-03-27,0.18,3,1,
2024-03-28,0.18,3,1,
2024-03-30,0.18,3,1,
2024-03-31,0.18,4,1,
2024-04-01,0.18,5,1,
2024-04-02,0.18,3,1,
2024-04-03,0.18,8,1,
2024-04-06,0.18,6,1,
2024-04-08,0.18,5,1,
2024-04-09,0.18,3,1,
2024-04-10,0.18,3,1,
2024-04-12,0.18,3,1,
2024-04-13,0.18,3,1,
2024-04-14,0.18,4,1,
2024-04-15,0.18,7,1,
2024-04-16,0.18,4,1,
2024-04-17,0.18,5,1,
2024-04-18,0.18,7,1,
2024-04-19,0.18,3,1,
2024-04-20,0.18,3,1,
2024-04-21,0.18,6,1,
2024-04-22,0.18,5,1,
2024-04-23,0.18,3,1,
2024-04-24,0.18,3,1,
2024-04-25,0.18,5,1,
2024-04-26,0.18,4,1,
2024-04-27,0.18,3,1,
2024-04-28,0.18,5,1,
2024-04-30,0.18,5,1,
2024-05-01,0.18,4,1,
2024-05-02,0.18,7,1,
2024-05-03,0.18,3,1,
2024-05-04,0.18,4,1,
2024-05-05,0.18,3,1,
2024-05-06,0.18,4,1,
2024-05-07,0.18,4,1,
2024-05-08,0.18,3,1,
2024-05-11,0.18,3,1,
2024-05-13,0.18,3,1,
2024-05-14,0.18,7,1,
2024-05-16,0.18,3,1,
2024-05-19,0.18,3,1,
2024-05-20,0.18,3,1,
2024-05-21,0.18,5,1,
2024-05-22,0.18,3,1,
2024-05-23,0.18,5,1,
2024-05-24,0.18,5,1,
2024-05-26,0.18,12,1,
2024-05-27,0.18,4,1,
2024-05-28,0.18,3,1,
2024-05-29,0.18,3,1,
2024-06-02,0.18,3,1,
2024-06-03,0.18,4,1,
2024-06-04,0.18,6,1,
2024-06-05,0.18,4,1,
2024-06-06,0.18,3,1,
2024-06-08,0.18,5,1,
2024-06-09,0.18,4,1,
2024-06-10,0.18,16,1,
2024-06-11,0.18,6,1,
2024-06-12,0.18,3,1,
2024-06-14,0.18,3,1,
2024-06-15,0.18,3,1,
2024-06-19,0.18,7,2,
2024-06-20,0.18,5,1,
2024-06-21,0.18,3,1,
2024-06-24,0.18,3,1,
2024-06-25,0.18,5,1,
2024-06-26,0.18,5,1,
2024-06-27,0.18,4,1,
2024-06-29,0.18,4,1,
2024-06-30,0.18,4,1,
2023-10-01,0.18,4,1,
2023-10-02,0.18,3,1,
2023-10-03,0.18,3,1,
2023-10-04,0.18,5,1,
2023-10-05,0.18,4,1,
2023-10-06,0.18,4,1,
2023-10-07,0.18,3,1,
2023-10-08,0.18,5,1,
2023-10-10,0.18,3,1,
2023-10-11,0.18,4,1,
2023-10-12,0.18,5,1,
2023-10-13,0.18,3,1,
2023-10-16,0.18,6,1,
2023-10-17,0.18,3,1,
2023-10-18,0.18,3,1,
2023-10-20,0.18,4,1,
2023-10-22,0.18,3,1,
2023-10-24,0.18,3,1,
2023-10-25,0.18,4,1,
2023-10-27,0.18,4,1,
2023-10-28,0.18,3,1,
2023-10-29,0.18,4,1,
2023-10-30,0.18,5,1,
2023-10-31,0.18,3,1,
2023-11-01,0.18,3,1,
2023-11-04,0.18,8,1,
2024-06-25,0.18,3,1,
2023-10-01,0.18,3,1,
2023-10-02,0.18,6,1,
2023-10-03,0.18,6,1,
2023-10-04,0.18,9,1,
2023-10-05,0.18,3,1,
2023-10-06,0.18,6,1,
2023-10-08,0.18,4,1,
2023-10-09,0.18,4,1,
2023-10-10,0.18,4,1,
2023-10-11,0.18,7,1,
2023-10-13,0.18,3,1,
2023-10-14,0.18,6,1,
2023-10-15,0.18,3,1,
2023-10-16,0.18,3,1,
2023-10-18,0.18,4,1,
2023-10-19,0.18,6,1,
2023-10-20,0.18,6,1,
2023-10-22,0.18,4,1,
2023-10-23,0.18,5,1,
2023-10-25,0.18,13,3,
2023-10-27,0.18,3,1,
2023-10-28,0.18,3,1,
2023-10-29,0.18,3,1,
2023-10-30,0.18,6,1,
2023-10-31,0.18,3,1,
2023-11-01,0.18,6,1,
2023-11-02,0.18,6,1,
2023-11-03,0.18,4,1,
2023-11-04,0.18,7,1,
2023-11-05,0.18,12,1,
2023-11-06,0.18,3,1,
2023-11-07,0.18,4,1,
2023-11-08,0.18,5,1,
2023-11-09,0.18,8,1,
2023-11-10,0.18,4,1,
2023-11-12,0.18,4,1,
2023-11-14,0.18,4,1,
2023-11-15,0.18,4,1,
2023-11-16,0.18,3,1,
2023-11-19,0.18,3,1,
2023-11-22,0.18,3,1,
2023-11-23,0.18,4,1,
2023-11-24,0.18,5,1,
2023-11-25,0.18,4,1,
2023-11-26,0.18,4,1,
2023-11-28,0.18,3,1,
2023-11-29,0.18,3,1,
2023-11-30,0.18,3,1,
2023-12-01,0.18,3,1,
2023-12-05,0.18,3,1,
2023-12-06,0.18,8,2,
2023-12-08,0.18,4,1,
2023-12-09,0.18,5,1,
2023-12-10,0.18,8,1,
2023-12-11,0.18,3,1,
2023-12-12,0.18,4,1,
2023-12-13,0.18,4,1,
2023-12-15,0.18,6,1,
2023-12-16,0.18,4,1,
2023-12-17,0.18,4,1,
2023-12-18,0.18,3,1,
2023-12-19,0.18,5,1,
2023-12-21,0.18,3,1,
2023-12-22,0.18,5,1,
2023-12-23,0.18,4,1,
2023-12-25,0.18,3,1,
2023-12-26,0.18,4,1,
2023-12-27,0.18,13,1,
2023-12-28,0.18,8,1,
2023-12-29,0.18,6,1,
2023-12-30,0.18,4,1,
2023-12-31,0.18,8,1,
2024-01-01,0.18,13,1,
2024-01-02,0.18,4,1,
2024-01-03,0.18,9,1,
2024-01-04,0.18,9,2,
2024-01-05,0.18,4,1,
2024-01-06,0.18,4,1,
2024-01-07,0.18,4,1,
2024-01-08,0.18,6,1,
2024-01-10,0.18,8,1,
2024-01-11,0.18,5,1,
2024-01-13,0.18,6,1,
2024-01-14,0.18,5,1,
2024-01-15,0.18,5,1,
2024-01-16,0.18,4,1,
2024-01-17,0.18,8,2,
2024-01-18,0.18,3,1,
2024-01-19,0.18,4,1,
2024-01-20,0.18,7,2,
2024-01-22,0.18,6,1,
2024-01-24,0.18,4,1,
2024-01-25,0.18,3,1,
2024-01-26,0.18,3,1,
2024-01-27,0.18,4,1,
2024-01-28,0.18,6,1,
2024-01-29,0.18,8,1,
2024-01-30,0.18,5,1,
2024-01-31,0.18,3,1,
2024-02-01,0.18,8,1,
2024-02-02,0.18,5,2,
2024-02-03,0.18,5,1,
2024-02-04,0.18,4,1,
2024-02-05,0.18,4,1,
2024-02-06,0.18,4,1,
2024-02-07,0.18,4,1,
2024-02-08,0.18,3,1,
2024-02-10,0.18,3,1,
2024-02-11,0.18,5,1,
2024-02-12,0.18,5,1,
2024-02-13,0.18,4,1,
2024-02-14,0.18,11,1,
2024-02-15,0.18,4,1,
2024-02-16,0.18,3,1,
2024-02-20,0.18,5,1,
2024-02-21,0.18,6,1,
2024-02-22,0.18,6,1,
2024-02-23,0.18,3,1,
2024-02-24,0.18,3,1,
2024-02-25,0.18,6,1,
2024-02-26,0.18,3,1,
2024-02-27,0.18,11,1,
2024-02-28,0.18,5,1,
2024-02-29,0.18,18,1,
2024-03-01,0.18,3,1,
2024-03-03,0.18,3,1,
2024-03-06,0.18,3,1,
2024-03-07,0.18,3,1,
2024-03-09,0.18,5,1,
2024-03-11,0.18,3,1,
2024-03-14,0.18,8,1,
2024-03-15,0.18,3,1,
2024-03-16,0.18,5,1,
2024-03-17,0.18,5,1,
2024-03-18,0.18,11,1,
2024-03-19,0.18,3,1,
2024-03-20,0.18,3,1,
2024-03-21,0.18,3,1,
2024-03-22,0.18,4,1,
2024-03-23,0.18,4,1,
2024-03-24,0.18,4,1,
2024-03-25,0.18,4,1,
2024-03-26,0.18,6,1,
2024-03-27,0.18,4,1,
2024-03-30,0.18,5,1,
2024-04-02,0.18,3,1,
2024-04-03,0.18,4,1,
2024-04-04,0.18,3,1,
2024-04-06,0.18,6,1,
2024-04-08,0.18,6,1,
2024-04-11,0.18,3,1,
2024-04-13,0.18,3,1,
2024-04-15,0.18,4,1,
2024-04-16,0.18,4,1,
2024-04-20,0.18,5,3,
2024-04-22,0.18,4,1,
2024-04-23,0.18,3,1,
2024-04-24,0.18,5,1,
2024-04-28,0.18,3,1,
2024-04-30,0.18,7,1,
2024-05-01,0.18,4,1,
2024-05-02,0.18,7,4,
2024-05-04,0.18,3,1,
2024-05-07,0.18,3,1,
2024-05-08,0.18,3,1,
2024-05-09,0.18,8,1,
2024-05-12,0.18,4,1,
2024-05-13,0.18,3,1,
2024-05-15,0.18,3,1,
2024-05-16,0.18,14,2,
2024-05-17,0.18,3,1,
2024-05-18,0.18,3,1,
2024-05-19,0.18,3,1,
2024-05-20,0.18,3,1,
2024-05-21,0.18,3,1,
2024-05-22,0.18,8,1,
2024-05-23,0.18,8,1,
2024-05-24,0.18,7,1,
2024-05-25,0.18,8,1,
2024-05-26,0.18,5,1,
2024-05-27,0.18,16,1,
2024-05-28,0.18,9,1,
2024-05-29,0.18,16,1,
2024-05-30,0.18,22,1,
2024-05-31,0.18,36,1,
2024-06-01,0.18,22,1,
2024-06-02,0.18,5,1,
2024-06-03,0.18,10,4,
2024-06-04,0.18,5,1,
2024-06-05,0.18,5,1,
2024-06-07,0.18,4,1,
2024-06-08,0.18,10,1,
2024-06-09,0.18,6,1,
2024-06-10,0.18,6,1,
2024-06-11,0.18,17,1,
2024-06-12,0.18,30,4,
2024-06-13,0.18,5,2,
2024-06-14,0.18,5,1,
2024-06-15,0.18,10,2,
2024-06-16,0.18,6,1,
2024-06-17,0.18,4,1,
2024-06-18,0.18,5,1,
2024-06-19,0.18,7,1,
2024-06-20,0.18,6,1,
2024-06-21,0.18,8,1,
2024-06-22,0.18,7,1,
2024-06-23,0.18,9,1,
2024-06-24,0.18,5,1,
2023-10-02,0.18,3,1,
2023-10-03,0.18,5,1,
2023-10-04,0.18,4,1,
2023-10-05,0.18,4,1,
2023-10-06,0.18,4,1,
2023-10-07,0.18,3,1,
2023-10-08,0.18,3,1,
2023-10-09,0.18,3,1,
2023-10-10,0.18,3,1,
2023-10-11,0.18,3,1,
2023-10-15,0.18,3,1,
2023-10-17,0.18,4,1,
2023-10-20,0.18,3,1,
2023-10-21,0.18,3,1,
2023-10-23,0.18,3,1,
2023-10-24,0.18,7,1,
2023-10-27,0.18,4,1,
2023-10-28,0.18,3,1,
2023-10-31,0.18,3,1,
2023-11-01,0.18,3,1,
2023-11-02,0.18,3,1,
2023-11-03,0.18,9,1,
2023-11-05,0.18,3,1,
2023-11-06,0.18,4,1,
2023-11-07,0.18,3,1,
2023-11-08,0.18,8,1,
2023-11-09,0.18,7,1,
2023-11-10,0.18,5,1,
2023-11-11,0.18,3,1,
2023-11-14,0.18,10,1,
2023-11-15,0.18,3,1,
2023-11-16,0.18,7,1,
2023-11-17,0.18,3,1,
2023-11-19,0.18,3,1,
2023-11-21,0.18,3,1,
2023-11-22,0.18,4,1,
2023-11-23,0.18,4,1,
2023-11-24,0.18,4,1,
2023-11-27,0.18,3,1,
2023-11-29,0.18,3,1,
2023-12-01,0.18,4,1,
2023-12-02,0.18,3,1,
2023-12-03,0.18,3,1,
2023-12-04,0.18,4,1,
2023-12-05,0.18,6,1,
2023-12-06,0.18,6,1,
2023-12-09,0.18,3,1,
2023-12-10,0.18,3,1,
2023-12-11,0.18,3,1,
2023-12-13,0.18,3,1,
2023-12-14,0.18,8,1,
2023-12-15,0.18,7,1,
2023-12-16,0.18,8,1,
2023-12-17,0.18,26,1,
2023-12-18,0.18,27,1,
2023-12-19,0.18,18,1,
2023-12-20,0.18,10,1,
2023-12-21,0.18,3,1,
2023-12-22,0.18,4,1,
2023-12-23,0.18,5,1,
2023-12-24,0.18,3,1,
2023-12-25,0.18,4,1,
2023-12-27,0.18,3,1,
2023-12-28,0.18,4,1,
2023-12-30,0.18,6,1,
2024-01-01,0.18,3,1,
2024-01-03,0.18,4,1,
2024-01-04,0.18,4,1,
2024-01-05,0.18,3,1,
2024-01-08,0.18,5,1,
2024-01-09,0.18,3,1,
2024-01-10,0.18,3,1,
2024-01-11,0.18,4,1,
2024-01-12,0.18,3,1,
2024-01-13,0.18,3,1,
2024-01-14,0.18,4,1,
2024-01-15,0.18,5,1,
2024-01-16,0.18,3,1,
2024-01-18,0.18,7,1,
2024-01-19,0.18,6,1,
2024-01-20,0.18,4,1,
2024-01-21,0.18,4,1,
2024-01-28,0.18,4,1,
2024-01-30,0.18,6,1,
2024-02-05,0.18,3,1,
2024-02-06,0.18,3,1,
2024-02-07,0.18,4,1,
2024-02-09,0.18,4,1,
2024-02-10,0.18,4,1,
2024-02-11,0.18,3,1,
2024-02-12,0.18,3,1,
2024-02-13,0.18,3,1,
2024-02-15,0.18,4,1,
2024-02-25,0.18,3,1,
2024-02-26,0.18,6,1,
2024-02-27,0.18,3,1,
2024-02-29,0.18,5,1,
2024-03-03,0.18,3,1,
2024-03-05,0.18,4,1,
2024-03-06,0.18,5,1,
2024-03-07,0.18,3,1,
2024-03-09,0.18,4,1,
2024-03-10,0.18,3,1,
2024-03-13,0.18,5,1,
2024-03-15,0.18,3,1,
2024-03-17,0.18,5,1,
2024-03-18,0.18,7,1,
2024-03-19,0.18,4,1,
2024-03-20,0.18,3,1,
2024-03-21,0.18,5,1,
2024-03-22,0.18,3,1,
2024-03-23,0.18,3,1,
2024-03-25,0.18,4,1,
2024-03-27,0.18,4,1,
2024-04-02,0.18,3,1,
2024-04-04,0.18,6,1,
2024-04-05,0.18,5,1,
2024-04-06,0.18,3,1,
2024-04-08,0.18,3,1,
2024-04-09,0.18,6,1,
2024-04-10,0.18,3,1,
2024-04-12,0.18,4,1,
2024-04-15,0.18,4,1,
2024-04-16,0.18,3,1,
2024-04-21,0.18,4,1,
2024-04-22,0.18,7,1,
2024-04-24,0.18,3,1,
2024-04-25,0.18,4,1,
2024-04-26,0.18,3,1,
2024-04-28,0.18,3,1,
2024-05-04,0.18,3,1,
2024-05-07,0.18,3,1,
2024-05-10,0.18,3,1,
2024-05-13,0.18,6,1,
2024-05-15,0.18,3,1,
2024-05-17,0.18,3,1,
2024-05-18,0.18,4,1,
2024-05-19,0.18,3,1,
2024-05-22,0.18,4,1,
2024-05-27,0.18,4,1,
2024-05-29,0.18,3,1,
2024-05-30,0.18,3,1,
2024-06-03,0.18,3,1,
2024-06-08,0.18,3,1,
2024-06-15,0.18,3,1,
2024-06-24,0.18,6,1,
2023-10-03,0.18,5,1,
2023-10-05,0.18,5,1,
2023-10-07,0.18,3,1,
2023-10-08,0.18,3,1,
2023-10-09,0.18,4,1,
2023-10-13,0.18,3,1,
2023-10-14,0.18,3,1,
2023-10-15,0.18,3,1,
2023-10-16,0.18,3,1,
2023-10-18,0.18,3,1,
2023-10-23,0.18,5,1,
2023-10-24,0.18,4,1,
2023-10-25,0.18,3,1,
2023-10-27,0.18,11,1,
2023-10-28,0.18,3,1,
2023-10-29,0.18,3,1,
2023-10-31,0.18,4,1,
2023-11-01,0.18,3,1,
2023-11-02,0.18,3,1,
2023-11-03,0.18,4,1,
2023-11-04,0.18,5,1,
2023-11-05,0.18,12,3,
2023-11-07,0.18,5,1,
2023-11-09,0.18,3,1,
2023-11-10,0.18,3,1,
2023-11-11,0.18,6,3,
2023-11-12,0.18,7,3,
2023-11-14,0.18,10,3,
2023-11-17,0.18,7,5,
2023-11-18,0.18,6,1,
2023-11-19,0.18,3,1,
2023-11-21,0.18,10,4,
2023-11-22,0.18,4,1,
2023-11-23,0.18,7,1,
2023-11-24,0.18,8,4,
2023-11-25,0.18,5,1,
2023-11-26,0.18,5,1,
2023-11-27,0.18,3,1,
2023-11-28,0.18,7,1,
2023-11-29,0.18,4,2,
2023-11-30,0.18,3,1,
2023-12-01,0.18,3,1,
2023-12-03,0.18,4,1,
2023-12-05,0.18,3,1,
2023-12-08,0.18,4,1,
2023-12-09,0.18,3,1,
2023-12-13,0.18,4,1,
2023-12-17,0.18,4,1,
2023-12-20,0.18,3,1,
2023-12-23,0.18,3,1,
2023-12-24,0.18,3,1,
2023-12-27,0.18,3,1,
2023-12-29,0.18,3,1,
2023-12-30,0.18,6,1,
2023-12-31,0.18,4,1,
2024-01-01,0.18,6,1,
2024-01-02,0.18,3,1,
2024-01-04,0.18,3,1,
2024-01-05,0.18,8,1,
2024-01-06,0.18,4,1,
2024-01-07,0.18,3,1,
2024-01-08,0.18,3,1,
2024-01-09,0.18,3,1,
2024-01-11,0.18,4,1,
2024-01-12,0.18,6,1,
2024-01-14,0.18,6,1,
2024-01-15,0.18,4,1,
2024-01-16,0.18,7,4,
2024-01-17,0.18,4,1,
2024-01-18,0.18,7,1,
2024-01-19,0.18,3,1,
2024-01-20,0.18,3,1,
2024-01-21,0.18,3,1,
2024-01-22,0.18,4,1,
2024-01-24,0.18,3,1,
2024-01-26,0.18,3,1,
2024-01-27,0.18,3,1,
2024-01-28,0.18,7,1,
2024-01-29,0.18,5,1,
2024-01-30,0.18,3,1,
2024-01-31,0.18,3,1,
2024-02-01,0.18,3,1,
2024-02-02,0.18,8,1,
2024-02-03,0.18,4,1,
2024-02-04,0.18,4,1,
2024-02-05,0.18,3,1,
2024-02-06,0.18,8,2,
2024-02-07,0.18,4,1,
2024-02-08,0.18,9,1,
2024-02-09,0.18,3,1,
2024-02-11,0.18,3,1,
2024-02-12,0.18,4,1,
2024-02-13,0.18,5,1,
2024-02-15,0.18,6,1,
2024-02-16,0.18,3,1,
2024-02-18,0.18,5,1,
2024-02-19,0.18,4,1,
2024-02-20,0.18,4,1,
2024-02-22,0.18,6,4,
2024-02-23,0.18,4,1,
2024-02-24,0.18,3,1,
2024-02-29,0.18,3,1,
2024-03-01,0.18,3,1,
2024-03-02,0.18,3,1,
2024-03-03,0.18,3,1,
2024-03-04,0.18,4,1,
2024-03-05,0.18,6,1,
2024-03-07,0.18,3,1,
2024-03-11,0.18,3,1,
2024-03-12,0.18,3,1,
2024-03-13,0.18,3,1,
2024-03-14,0.18,3,1,
2024-03-20,0.18,5,1,
2024-03-24,0.18,3,1,
2024-03-25,0.18,9,1,
2024-03-30,0.18,7,1,
2024-03-31,0.18,3,1,
2024-04-01,0.18,3,1,
2024-04-08,0.18,5,1,
2024-04-12,0.18,3,1,
2024-04-15,0.18,3,1,
2024-04-16,0.18,4,1,
2024-04-17,0.18,4,1,
2024-04-18,0.18,9,2,
